id,year,overall_pick,team,player,college,years_active,games,points,total_rebounds,assists,field_goal_percentage,3_point_percentage,free_throw_percentage,points_per_game,average_total_rebounds,average_assists,win_shares,win_shares_per_48_minutes,box_plus_minus,value_over_replacement
1,1989,1,SAC,Pervis Ellison,Louisville,11.0,474.0,4494.0,3170.0,691.0,0.51,0.05,0.689,9.5,6.7,1.5,21.8,0.09,-0.5,4.4
2,1989,2,LAC,Danny Ferry,Duke,13.0,917.0,6439.0,2550.0,1185.0,0.446,0.393,0.84,7.0,2.8,1.3,34.8,0.092,-0.9,4.9
3,1989,3,SAS,Sean Elliott,Arizona,12.0,742.0,10544.0,3204.0,1897.0,0.465,0.375,0.799,14.2,4.3,2.6,55.7,0.109,0.2,13.5
4,1989,4,MIA,Glen Rice,Michigan,15.0,1000.0,18336.0,4387.0,2097.0,0.456,0.4,0.846,18.3,4.4,2.1,88.7,0.122,0.8,24.9
5,1989,5,CHH,J.R. Reid,UNC,11.0,672.0,5680.0,3381.0,639.0,0.472,0.135,0.716,8.5,5.0,1.0,22.5,0.07,-2.9,-3.7
6,1989,6,CHI,Stacey King,Oklahoma,8.0,438.0,2819.0,1460.0,387.0,0.478,0.235,0.707,6.4,3.3,0.9,10.9,0.071,-3.4,-2.7
7,1989,7,IND,George McCloud,Florida State,12.0,766.0,6925.0,2342.0,1769.0,0.402,0.358,0.81,9.0,3.1,2.3,24.6,0.068,-0.8,5.3
8,1989,8,DAL,Randy White,Louisiana Tech,5.0,281.0,2083.0,1366.0,175.0,0.401,0.193,0.707,7.4,4.9,0.6,1.9,0.017,-5.0,-4.0
9,1989,9,WSB,Tom Hammonds,Georgia Tech,12.0,687.0,3617.0,2243.0,378.0,0.48,0.0,0.691,5.3,3.3,0.6,14.7,0.068,-3.8,-4.7
10,1989,10,MIN,Pooh Richardson,UCLA,10.0,639.0,7083.0,1807.0,4180.0,0.444,0.329,0.652,11.1,2.8,6.5,26.7,0.066,0.2,10.5
11,1989,11,ORL,Nick Anderson,Illinois,13.0,800.0,11529.0,4064.0,2087.0,0.446,0.356,0.667,14.4,5.1,2.6,55.3,0.106,1.9,24.7
12,1989,12,NJN,Mookie Blaylock,Oklahoma,13.0,889.0,11962.0,3659.0,5972.0,0.409,0.336,0.736,13.5,4.1,6.7,71.8,0.111,3.0,39.2
13,1989,13,BOS,Michael Smith,BYU,3.0,141.0,698.0,212.0,142.0,0.474,0.15,0.835,5.0,1.5,1.0,1.4,0.049,-3.6,-0.5
14,1989,14,GSW,Tim Hardaway,Texas-El Paso,13.0,867.0,15373.0,2855.0,7095.0,0.431,0.355,0.782,17.7,3.3,8.2,85.0,0.133,3.1,39.6
15,1989,15,DEN,Todd Lichti,Stanford,5.0,237.0,1870.0,505.0,325.0,0.46,0.244,0.789,7.9,2.1,1.4,5.6,0.063,-2.5,-0.5
55,1990,1,NJN,Derrick Coleman,Syracuse,15.0,781.0,12884.0,7232.0,1985.0,0.447,0.295,0.769,16.5,9.3,2.5,64.3,0.119,1.4,22.3
56,1990,2,SEA,Gary Payton,Oregon State,17.0,1335.0,21813.0,5269.0,8966.0,0.466,0.317,0.729,16.3,3.9,6.7,145.5,0.148,3.3,62.5
57,1990,3,DEN,Mahmoud Abdul-Rauf,LSU,9.0,586.0,8553.0,1087.0,2079.0,0.442,0.354,0.905,14.6,1.9,3.5,25.2,0.077,-0.8,4.5
58,1990,4,ORL,Dennis Scott,Georgia Tech,10.0,629.0,8094.0,1774.0,1296.0,0.417,0.397,0.793,12.9,2.8,2.1,33.4,0.089,0.2,9.9
59,1990,5,CHH,Kendall Gill,Illinois,15.0,966.0,12914.0,4002.0,2945.0,0.434,0.3,0.754,13.4,4.1,3.0,47.8,0.078,0.1,15.8
60,1990,6,MIN,Felton Spencer,Louisville,12.0,640.0,3354.0,3436.0,213.0,0.484,0.0,0.658,5.2,5.4,0.3,20.9,0.081,-4.3,-7.0
61,1990,7,SAC,Lionel Simmons,La Salle,7.0,454.0,5833.0,2833.0,1498.0,0.433,0.305,0.771,12.8,6.2,3.3,16.9,0.06,0.0,6.7
62,1990,8,LAC,Bo Kimble,Loyola Marymount,3.0,105.0,574.0,162.0,98.0,0.386,0.291,0.728,5.5,1.5,0.9,0.1,0.004,-5.7,-1.2
63,1990,9,MIA,Willie Burton,Minnesota,8.0,316.0,3243.0,932.0,393.0,0.424,0.345,0.786,10.3,2.9,1.2,9.1,0.065,-2.5,-0.9
64,1990,10,ATL,Rumeal Robinson,Michigan,6.0,336.0,2546.0,606.0,1179.0,0.432,0.344,0.611,7.6,1.8,3.5,5.2,0.041,-1.5,0.8
65,1990,11,GSW,Tyrone Hill,Xavier,14.0,801.0,7532.0,6854.0,647.0,0.502,0.0,0.643,9.4,8.6,0.8,56.2,0.12,-1.9,0.8
66,1990,12,HOU,Alec Kessler,Georgia,4.0,210.0,1084.0,751.0,81.0,0.426,0.417,0.744,5.2,3.6,0.4,2.0,0.033,-5.9,-2.8
67,1990,13,LAC,Loy Vaught,Michigan,11.0,689.0,6984.0,4881.0,652.0,0.504,0.244,0.718,10.1,7.1,0.9,35.8,0.101,-1.5,2.2
68,1990,14,SAC,Travis Mays,Texas,3.0,115.0,1273.0,233.0,326.0,0.41,0.362,0.749,11.1,2.0,2.8,2.4,0.039,-2.6,-0.5
69,1990,15,MIA,Dave Jamerson,Ohio University,3.0,90.0,306.0,77.0,61.0,0.392,0.277,0.86,3.4,0.9,0.7,0.2,0.018,-3.9,-0.3
109,1991,1,CHH,Larry Johnson,UNLV,10.0,707.0,11450.0,5300.0,2298.0,0.484,0.332,0.766,16.2,7.5,3.3,69.7,0.13,1.4,22.0
110,1991,2,NJN,Kenny Anderson,Georgia Tech,14.0,858.0,10789.0,2641.0,5196.0,0.421,0.346,0.79,12.6,3.1,6.1,62.5,0.116,1.4,21.9
111,1991,3,SAC,Billy Owens,Syracuse,10.0,600.0,7026.0,4016.0,1704.0,0.481,0.291,0.629,11.7,6.7,2.8,28.6,0.078,-0.2,7.8
112,1991,4,DEN,Dikembe Mutombo,Georgetown,18.0,1196.0,11729.0,12359.0,1240.0,0.518,0.0,0.684,9.8,10.3,1.0,117.0,0.153,1.7,33.9
113,1991,5,MIA,Steve Smith,Michigan State,14.0,942.0,13430.0,3060.0,2922.0,0.44,0.358,0.845,14.3,3.2,3.1,83.7,0.139,1.4,24.6
114,1991,6,DAL,Doug Smith,Missouri,5.0,296.0,2356.0,1234.0,400.0,0.425,0.083,0.773,8.0,4.2,1.4,3.0,0.024,-3.6,-2.4
115,1991,7,MIN,Luc Longley,New Mexico,10.0,567.0,4090.0,2794.0,836.0,0.462,0.0,0.76,7.2,4.9,1.5,17.5,0.07,-2.6,-1.9
116,1991,8,DEN,Mark Macon,Temple,6.0,251.0,1685.0,467.0,428.0,0.384,0.27,0.735,6.7,1.9,1.7,0.1,0.001,-3.7,-2.2
117,1991,9,ATL,Stacey Augmon,UNLV,15.0,1001.0,7990.0,3216.0,1561.0,0.469,0.152,0.728,8.0,3.2,1.6,43.8,0.097,-0.2,9.8
118,1991,10,ORL,Bison Dele,Arizona,8.0,413.0,4536.0,2564.0,440.0,0.528,0.143,0.691,11.0,6.2,1.1,22.8,0.109,-0.6,3.4
119,1991,11,CLE,Terrell Brandon,Oregon,11.0,724.0,9994.0,2174.0,4407.0,0.448,0.355,0.873,13.8,3.0,6.1,65.9,0.147,3.6,30.3
120,1991,12,NYK,Greg Anthony,UNLV,11.0,757.0,5497.0,1417.0,2997.0,0.403,0.349,0.733,7.3,1.9,4.0,35.9,0.109,1.3,13.3
121,1991,13,IND,Dale Davis,Clemson,16.0,1094.0,8706.0,8605.0,978.0,0.53,0.0,0.562,8.0,7.9,0.9,86.9,0.141,0.5,18.4
122,1991,14,SEA,Rich King,Nebraska,4.0,72.0,135.0,74.0,21.0,0.393,0.0,0.662,1.9,1.0,0.3,0.2,0.036,-6.9,-0.4
123,1991,15,ATL,Anthony Avent,Seton Hall,6.0,352.0,1958.0,1584.0,278.0,0.403,0.0,0.686,5.6,4.5,0.8,0.3,0.002,-5.7,-6.4
163,1992,1,ORL,Shaquille O'Neal,LSU,19.0,1207.0,28596.0,13099.0,3026.0,0.582,0.045,0.527,23.7,10.9,2.5,181.7,0.208,5.1,75.5
164,1992,2,CHH,Alonzo Mourning,Georgetown,15.0,838.0,14311.0,7137.0,946.0,0.527,0.247,0.692,17.1,8.5,1.1,89.7,0.166,2.2,27.4
165,1992,3,MIN,Christian Laettner,Duke,13.0,868.0,11121.0,5806.0,2224.0,0.48,0.261,0.82,12.8,6.7,2.6,64.9,0.121,1.0,19.5
166,1992,4,DAL,Jim Jackson,Ohio State,14.0,885.0,12690.0,4152.0,2851.0,0.428,0.365,0.825,14.3,4.7,3.2,35.8,0.059,-0.9,8.2
167,1992,5,DEN,LaPhonso Ellis,Notre Dame,11.0,624.0,7410.0,4032.0,981.0,0.452,0.302,0.73,11.9,6.5,1.6,32.8,0.089,-1.0,4.6
168,1992,6,WSB,Tom Gugliotta,NC State,13.0,763.0,9895.0,5589.0,2140.0,0.451,0.284,0.757,13.0,7.3,2.8,40.2,0.082,0.6,15.3
169,1992,7,SAC,Walt Williams,Maryland,11.0,708.0,8385.0,2794.0,1637.0,0.425,0.379,0.743,11.8,3.9,2.3,33.9,0.087,0.5,11.8
170,1992,8,MIL,Todd Day,Arkansas,8.0,483.0,5917.0,1649.0,713.0,0.406,0.345,0.739,12.3,3.4,1.5,17.5,0.069,-0.9,3.4
171,1992,9,PHI,Clarence Weatherspoon,Southern Miss,13.0,915.0,10483.0,6846.0,1346.0,0.471,0.196,0.743,11.5,7.5,1.5,58.4,0.101,-0.3,11.8
172,1992,10,ATL,Adam Keefe,Stanford,9.0,617.0,3107.0,2556.0,427.0,0.502,0.071,0.714,5.0,4.1,0.7,24.9,0.116,-1.3,1.7
173,1992,11,HOU,Robert Horry,Alabama,16.0,1107.0,7715.0,5269.0,2343.0,0.425,0.341,0.726,7.0,4.8,2.1,66.3,0.118,1.9,26.4
174,1992,12,MIA,Harold Miner,USC,4.0,200.0,1801.0,432.0,245.0,0.46,0.311,0.785,9.0,2.2,1.2,4.2,0.053,-3.0,-0.9
175,1992,13,DEN,Bryant Stith,Virginia,10.0,586.0,5946.0,1983.0,1178.0,0.424,0.329,0.841,10.1,3.4,2.0,29.5,0.086,-0.8,4.9
176,1992,14,IND,Malik Sealy,St. John's,8.0,493.0,4955.0,1585.0,816.0,0.426,0.292,0.809,10.1,3.2,1.7,17.1,0.07,-1.2,2.2
177,1992,15,LAL,Anthony Peeler,Missouri,13.0,827.0,8017.0,2136.0,1956.0,0.427,0.384,0.799,9.7,2.6,2.4,30.7,0.072,-0.7,6.6
217,1993,1,ORL,Chris Webber,Michigan,15.0,831.0,17182.0,8124.0,3526.0,0.479,0.299,0.649,20.7,9.8,4.2,84.7,0.132,3.4,42.1
218,1993,2,PHI,Shawn Bradley,BYU,12.0,832.0,6752.0,5268.0,573.0,0.457,0.103,0.716,8.1,6.3,0.7,40.7,0.1,-0.2,8.9
219,1993,3,GSW,Anfernee Hardaway,Memphis,14.0,704.0,10684.0,3146.0,3525.0,0.458,0.316,0.774,15.2,4.5,5.0,61.9,0.125,2.5,26.9
220,1993,4,DAL,Jamal Mashburn,Kentucky,11.0,611.0,11644.0,3271.0,2414.0,0.418,0.345,0.766,19.1,5.4,4.0,43.7,0.092,0.3,13.4
221,1993,5,MIN,Isaiah Rider,UNLV,9.0,563.0,9405.0,2166.0,1535.0,0.443,0.352,0.812,16.7,3.8,2.7,22.8,0.061,-1.0,4.5
222,1993,6,WSB,Calbert Cheaney,Indiana,13.0,825.0,7826.0,2610.0,1398.0,0.466,0.298,0.691,9.5,3.2,1.7,23.1,0.05,-2.5,-2.9
223,1993,7,SAC,Bobby Hurley,Duke,5.0,269.0,1032.0,283.0,880.0,0.353,0.272,0.769,3.8,1.1,3.3,-1.2,-0.014,-5.4,-3.5
224,1993,8,MIL,Vin Baker,University of Hartford,13.0,791.0,11839.0,5867.0,1509.0,0.485,0.215,0.638,15.0,7.4,1.9,47.0,0.088,-1.2,5.3
225,1993,9,DEN,Rodney Rogers,Wake Forest,12.0,866.0,9468.0,3881.0,1722.0,0.451,0.347,0.69,10.9,4.5,2.0,38.8,0.085,-0.3,9.7
226,1993,10,DET,Lindsey Hunter,Jackson State University,17.0,937.0,7956.0,2021.0,2506.0,0.388,0.36,0.746,8.5,2.2,2.7,32.9,0.068,-0.4,9.4
227,1993,11,DET,Allan Houston,Tennessee,12.0,839.0,14551.0,2434.0,1990.0,0.444,0.402,0.863,17.3,2.9,2.4,55.3,0.094,0.1,15.0
228,1993,12,LAL,George Lynch,UNC,12.0,774.0,5109.0,3902.0,1121.0,0.446,0.306,0.652,6.6,5.0,1.4,32.3,0.088,-0.4,7.3
229,1993,13,LAC,Terry Dehere,Seton Hall,6.0,402.0,3235.0,588.0,1034.0,0.411,0.378,0.779,8.0,1.5,2.6,7.3,0.048,-2.6,-1.1
230,1993,14,IND,Scott Haskin,Oregon State,1.0,27.0,55.0,55.0,6.0,0.467,,0.684,2.0,2.0,0.2,0.3,0.087,-2.8,0.0
231,1993,15,ATL,Doug Edwards,Florida State,3.0,85.0,203.0,153.0,60.0,0.378,0.0,0.709,2.4,1.8,0.7,0.2,0.013,-4.8,-0.6
271,1994,1,MIL,Glenn Robinson,Purdue,11.0,688.0,14234.0,4189.0,1879.0,0.459,0.34,0.82,20.7,6.1,2.7,39.8,0.075,0.1,13.5
272,1994,2,DAL,Jason Kidd,California,19.0,1391.0,17529.0,8725.0,12091.0,0.4,0.349,0.785,12.6,6.3,8.7,138.6,0.133,3.8,73.5
273,1994,3,DET,Grant Hill,Duke,18.0,1026.0,17137.0,6169.0,4252.0,0.483,0.314,0.769,16.7,6.0,4.1,99.9,0.138,3.0,43.6
274,1994,4,MIN,Donyell Marshall,UConn,15.0,957.0,10716.0,6376.0,1305.0,0.435,0.35,0.731,11.2,6.7,1.4,59.0,0.113,1.1,19.9
275,1994,5,WSB,Juwan Howard,Michigan,19.0,1208.0,16159.0,7428.0,2663.0,0.469,0.12,0.764,13.4,6.1,2.2,59.4,0.078,-1.6,3.8
276,1994,6,PHI,Sharone Wright,Clemson,4.0,203.0,1974.0,1023.0,118.0,0.456,0.083,0.618,9.7,5.0,0.6,1.4,0.015,-4.8,-3.2
277,1994,7,LAC,Lamond Murray,California,11.0,736.0,8286.0,3033.0,978.0,0.43,0.36,0.759,11.3,4.1,1.3,19.8,0.052,-1.2,4.0
278,1994,8,SAC,Brian Grant,Xavier,12.0,756.0,7933.0,5622.0,923.0,0.49,0.214,0.746,10.5,7.4,1.2,54.5,0.122,-0.8,6.2
279,1994,9,BOS,Eric Montross,UNC,8.0,465.0,2071.0,2159.0,207.0,0.49,0.0,0.478,4.5,4.6,0.4,8.5,0.048,-4.4,-5.2
280,1994,10,LAL,Eddie Jones,Temple,14.0,954.0,14155.0,3857.0,2812.0,0.437,0.373,0.809,14.8,4.0,2.9,100.6,0.147,3.1,42.3
281,1994,11,SEA,Carlos Rogers,Tennessee State,8.0,298.0,2196.0,1272.0,182.0,0.536,0.258,0.562,7.4,4.3,0.6,11.1,0.095,-1.0,1.5
282,1994,12,MIA,Khalid Reeves,Arizona,6.0,277.0,2167.0,580.0,886.0,0.416,0.363,0.744,7.8,2.1,3.2,8.4,0.069,-1.3,1.0
283,1994,13,DEN,Jalen Rose,Michigan,13.0,923.0,13220.0,3193.0,3527.0,0.443,0.355,0.801,14.3,3.5,3.8,47.2,0.081,-0.2,12.3
284,1994,14,NJN,Yinka Dare,George Washington,4.0,110.0,233.0,281.0,4.0,0.396,,0.57,2.1,2.6,0.0,-0.7,-0.033,-8.4,-1.6
285,1994,15,IND,Eric Piatkowski,Nebraska,14.0,789.0,5919.0,1716.0,778.0,0.434,0.399,0.839,7.5,2.2,1.0,31.0,0.102,0.2,7.9
325,1995,1,GSW,Joe Smith,Maryland,16.0,1030.0,11208.0,6575.0,1010.0,0.455,0.238,0.79,10.9,6.4,1.0,60.3,0.107,-1.5,3.0
